pct_length                 wc                       hc                       hrib                     wrib                     Uin                      Pressure
0.02                     5.0E-4                   0.0016666666666666666    5.855000000000001E-4     8.333333333333334E-5     8.35                     239.32161046844476
0.02                     5.0E-4                   0.0016666666666666666    5.855000000000001E-4     8.333333333333334E-5     10                       332.07928911387256
0.02                     5.0E-4                   0.0016666666666666666    5.855000000000001E-4     1.1666666666666667E-4    0.1                      0.3263700550183093
0.02                     5.0E-4                   0.0016666666666666666    5.855000000000001E-4     1.1666666666666667E-4    1.7500000000000002       16.961256421822135
0.02                     5.0E-4                   0.0016666666666666666    5.855000000000001E-4     1.1666666666666667E-4    3.4000000000000004       53.59903774693905
0.02                     5.0E-4                   0.0016666666666666666    5.855000000000001E-4     1.1666666666666667E-4    5.05                     109.24392479221056
0.02                     5.0E-4                   0.0016666666666666666    5.855000000000001E-4     1.1666666666666667E-4    6.7                      182.43501326632278
0.02                     5.0E-4                   0.0016666666666666666    5.855000000000001E-4     1.1666666666666667E-4    8.35                     272.2698244991831
0.02                     5.0E-4                   0.0016666666666666666    5.855000000000001E-4     1.1666666666666667E-4    10                       377.99854201831573
0.02                     5.0E-4                   0.0016666666666666666    5.855000000000001E-4     1.5000000000000001E-4    0.1                      0.3820689749875054
0.02                     5.0E-4                   0.0016666666666666666    5.855000000000001E-4     1.5000000000000001E-4    1.7500000000000002       19.124903122902968
0.02                     5.0E-4                   0.0016666666666666666    5.855000000000001E-4     1.5000000000000001E-4    3.4000000000000004       60.42196278421529
0.02                     5.0E-4                   0.0016666666666666666    5.855000000000001E-4     1.5000000000000001E-4    5.05                     123.06000036367728
